gadmid,dslr_med,lsl_med,n_seg_ir,var_med
329,0.017399992421269418,0.0007999997586011886,10,0.018199992179870606
366,0.010166666082416972,0.47866668303807575,3,0.4888333491204927
592,0.005499992752447724,0.47050002217292786,1,0.4760000149253756
631,0.004874995560385287,0.4813750199973583,4,0.4862500155577436
717,0.005499992752447724,0.47050002217292786,1,0.4760000149253756
877,-0.02650000061839819,0.49650001525878906,1,0.4700000146403909
901,-0.021999993827193975,0.4970000088214874,1,0.47500001499429345
902,-0.021499991416931152,0.49950000643730164,2,0.4780000150203705
907,-0.021999993827193975,0.4970000088214874,2,0.47500001499429345
908,-0.020500007085502148,0.49250002205371857,1,0.4720000149682164
921,-0.02650000061839819,0.49650001525878906,2,0.4700000146403909
984,-0.021000005770474672,0.503000020980835,1,0.4820000152103603
1019,-0.019875008263625205,0.4921250231564045,4,0.4722500148927793
1117,-0.0270000072196126,0.4960000216960907,1,0.4690000144764781
1157,-0.021000004839152098,0.4950000196695328,2,0.4740000148303807
1158,-0.020500007085502148,0.49250002205371857,1,0.4720000149682164
1161,-0.02000001585111022,0.4930000305175781,2,0.4730000146664679
1162,-0.02150001877453178,0.5020000338554382,1,0.48050001508090645
1184,-0.021500005095731467,0.5007500201463699,2,0.47925001505063847
1188,-0.020500007085502148,0.49250002205371857,1,0.4720000149682164
1193,-0.021250012272503227,0.5025000274181366,2,0.48125001514563337
1194,-0.021000005770474672,0.503000020980835,1,0.4820000152103603
1195,-0.021000005770474672,0.503000020980835,2,0.4820000152103603
1198,-0.02050001034513116,0.49400002509355545,4,0.4735000147484243
1205,-0.020166679595907528,0.49283336102962494,3,0.47266668143371743
1219,-0.021000005770474672,0.503000020980835,1,0.4820000152103603
1223,-0.020500007085502148,0.49250002205371857,1,0.4720000149682164
1236,-0.021000005770474672,0.503000020980835,2,0.4820000152103603
1241,-0.021000005770474672,0.503000020980835,1,0.4820000152103603
1257,-0.021999993827193975,0.4970000088214874,3,0.47500001499429345
1260,-0.021000005770474672,0.503000020980835,2,0.4820000152103603
1267,-0.021000005770474672,0.503000020980835,2,0.4820000152103603
1335,-0.021000005770474672,0.503000020980835,1,0.4820000152103603
1349,-0.02166665888701876,0.4986666738986969,3,0.47700001501167816
1404,-0.022499986458569765,0.50450000166893,1,0.4820000152103603
1412,-0.021000005770474672,0.503000020980835,1,0.4820000152103603
1419,-0.022499986458569765,0.50450000166893,2,0.4820000152103603
1427,-0.02150001877453178,0.5020000338554382,2,0.48050001508090645
1436,-0.02174999611452222,0.5037500113248825,2,0.4820000152103603
1621,-0.023750001535518095,0.4998750165104866,4,0.4761250149749685
1686,-0.026750003919005394,0.4962500184774399,2,0.4695000145584345
1710,-0.026750003919005394,0.4962500184774399,4,0.4695000145584345
1721,-0.025250010192394257,0.4957500249147415,4,0.47050001472234726
1742,-0.0270000072196126,0.4960000216960907,2,0.4690000144764781
1744,-0.024000019766390324,0.49500003457069397,1,0.47100001480430365
1755,-0.0270000072196126,0.4960000216960907,1,0.4690000144764781
1784,-0.02650000061839819,0.49650001525878906,1,0.4700000146403909
1835,-0.027500002644956112,0.49250001708666485,3,0.46500001444170874
1932,-0.02850000560283661,0.49150002002716064,2,0.46300001442432404
2019,-0.02850000560283661,0.49150002002716064,2,0.46300001442432404
2227,-0.047500014305114746,0.6505000293254852,1,0.6030000150203705
2308,-0.06300000194460154,0.5326666831970215,3,0.46966668125241995
2321,-0.06080832059830443,0.5288083349108698,4,0.4680000143125653
2331,-0.059500016272068024,0.518500030040741,4,0.45900001376867294
2337,-0.06330000180751086,0.525600016117096,5,0.4623000143095851
2341,-0.062499997206032276,0.5315000116825104,1,0.4690000144764781
2346,-0.06310000289231539,0.5329000174999237,5,0.4698000146076083
2348,-0.06628573566143002,0.5240714635167804,7,0.4577857278553503
2374,-0.062499997206032276,0.5315000116825104,1,0.4690000144764781
2376,-0.062499997206032276,0.5315000116825104,2,0.4690000144764781
2381,-0.05750003270804882,0.5195000469684601,2,0.46200001426041126
2398,-0.06183333353449901,0.5281666815280914,3,0.46633334799359244
2409,-0.05830002650618553,0.5209000408649445,5,0.4626000143587589
2417,-0.061500005734463535,0.523166686296463,3,0.4616666805619995
2430,-0.06080832059830443,0.5288083349108698,1,0.4680000143125653
2442,-0.05915417665317663,0.524154190939665,4,0.46500001428648835
2468,-0.05750003270804882,0.5195000469684601,3,0.46200001426041126
2474,-0.05915417665317663,0.524154190939665,2,0.46500001428648835
2523,-0.061500001698732376,0.526500016450882,2,0.4650000147521496
2546,-0.062499997206032276,0.5315000116825104,1,0.4690000144764781
2547,-0.062499997206032276,0.5315000116825104,2,0.4690000144764781
2621,-0.06400001142174006,0.5350000262260437,2,0.47100001480430365
2629,-0.0619166794543465,0.5287500272194544,6,0.46683334776510793
2656,-0.059800027124583724,0.5218000411987305,5,0.46200001407414676
2660,-0.059000039473176,0.5190000534057617,1,0.4600000139325857
2744,-0.0640000132843852,0.5302500277757645,2,0.46625001449137926
2786,-0.06657143961638212,0.5297857395240239,7,0.46321429990764174
2835,-0.04050001502037048,0.4735000282526016,1,0.43300001323223114
2837,-0.042500004172325134,0.4545000195503235,1,0.41200001537799835
2857,0.020999982953071594,0.4190000295639038,4,0.4400000125169754
2858,0.021999984979629517,0.4190000295639038,3,0.4410000145435333
2859,0.02049998939037323,0.4205000251531601,2,0.4410000145435333
2862,0.02433331807454427,0.4190000295639038,3,0.44333334763844806
2894,0.02099998388439417,0.4490000307559967,1,0.4700000146403909
2975,0.02099998388439417,0.4490000307559967,1,0.4700000146403909
3012,0.02099998388439417,0.4490000307559967,2,0.4700000146403909
3013,0.02099998388439417,0.4490000307559967,1,0.4700000146403909
3014,0.02099998388439417,0.4490000307559967,1,0.4700000146403909
3015,0.017999985255301,0.4410000294446945,4,0.4590000146999955
3017,0.02099998388439417,0.4490000307559967,2,0.4700000146403909
3029,0.02099998388439417,0.4490000307559967,1,0.4700000146403909
3030,0.02099998388439417,0.4490000307559967,1,0.4700000146403909
3036,0.02099998388439417,0.4490000307559967,1,0.4700000146403909
3042,0.02099998388439417,0.4490000307559967,1,0.4700000146403909
3045,0.013999991118907928,0.4310000240802765,2,0.4450000151991844
3048,0.013999991118907928,0.4310000240802765,2,0.4450000151991844
3054,0.02099998388439417,0.4490000307559967,1,0.4700000146403909
3055,0.02099998388439417,0.4490000307559967,1,0.4700000146403909
3063,0.02099998388439417,0.4490000307559967,1,0.4700000146403909
3065,0.02099998388439417,0.4490000307559967,1,0.4700000146403909
3076,0.02099998388439417,0.4490000307559967,1,0.4700000146403909
3081,0.02099998388439417,0.4490000307559967,1,0.4700000146403909
3082,0.02099998388439417,0.4490000307559967,1,0.4700000146403909
3090,0.013999991118907928,0.4310000240802765,3,0.4450000151991844
3093,0.06629999512806535,0.3984000191092491,10,0.46470001423731444
3094,0.08549999818205833,0.3636000156402588,5,0.4491000138223171
3096,0.09243749128654599,0.3396875225007534,8,0.4321250137872994
3097,0.08019999116659164,0.3122000217437744,5,0.3924000129103661
3098,0.06749999709427357,0.28437501192092896,4,0.3518750090152025
3099,0.0682225174956645,0.3162774938403939,12,0.3845000113360584
3104,0.02099998388439417,0.4490000307559967,1,0.4700000146403909
3107,0.02099998388439417,0.4490000307559967,1,0.4700000146403909
3116,0.02099998388439417,0.4490000307559967,1,0.4700000146403909
3118,0.02099998388439417,0.4490000307559967,1,0.4700000146403909
3119,0.02099998388439417,0.4490000307559967,1,0.4700000146403909
3120,0.024999981746077538,0.4280000329017639,2,0.45300001464784145
3121,0.026999983936548233,0.4190000295639038,1,0.44600001350045204
3122,0.026999983936548233,0.4190000295639038,3,0.44600001350045204
3123,0.025499984622001648,0.4190000295639038,2,0.44450001418590546
3125,0.02099998388439417,0.4490000307559967,1,0.4700000146403909
3128,0.02099998388439417,0.4490000307559967,1,0.4700000146403909
3129,0.02099998388439417,0.4490000307559967,1,0.4700000146403909
3135,0.02099998388439417,0.4490000307559967,1,0.4700000146403909
3147,0.02099998388439417,0.4490000307559967,1,0.4700000146403909
3148,0.02099998388439417,0.4490000307559967,1,0.4700000146403909
3150,0.02099998388439417,0.4490000307559967,1,0.4700000146403909
3151,0.02099998388439417,0.4490000307559967,1,0.4700000146403909
3157,0.02099998388439417,0.4490000307559967,1,0.4700000146403909
3164,0.02099998388439417,0.4490000307559967,1,0.4700000146403909
3168,0.02099998388439417,0.4490000307559967,1,0.4700000146403909
3169,0.02099998388439417,0.4490000307559967,1,0.4700000146403909
3170,0.02099998388439417,0.4490000307559967,1,0.4700000146403909
3172,0.02099998388439417,0.4490000307559967,1,0.4700000146403909
3175,0.03574999151751399,0.45830002427101135,10,0.49405001578852537
3181,0.02099998388439417,0.4490000307559967,1,0.4700000146403909
3182,0.02099998388439417,0.4490000307559967,1,0.4700000146403909
3186,0.02099998388439417,0.4490000307559967,1,0.4700000146403909
3187,0.02099998388439417,0.4490000307559967,1,0.4700000146403909
3188,0.02099998388439417,0.4490000307559967,1,0.4700000146403909
3189,0.02099998388439417,0.4490000307559967,1,0.4700000146403909
3191,0.02099998388439417,0.4490000307559967,1,0.4700000146403909
3193,0.02099998388439417,0.4490000307559967,1,0.4700000146403909
3194,0.01749998750165105,0.4400000274181366,2,0.45750001491978765
3195,0.02099998388439417,0.4490000307559967,1,0.4700000146403909
3196,0.02099998388439417,0.4490000307559967,1,0.4700000146403909
3197,0.02099998388439417,0.4490000307559967,1,0.4700000146403909
3200,0.02099998388439417,0.4490000307559967,1,0.4700000146403909
3201,0.02099998388439417,0.4490000307559967,1,0.4700000146403909
3202,0.02099998388439417,0.4490000307559967,1,0.4700000146403909
3205,0.02099998388439417,0.4490000307559967,1,0.4700000146403909
3208,0.02099998388439417,0.4490000307559967,1,0.4700000146403909
3209,0.02099998388439417,0.4490000307559967,1,0.4700000146403909
3211,0.02099998388439417,0.4490000307559967,1,0.4700000146403909
3212,0.02099998388439417,0.4490000307559967,1,0.4700000146403909
3213,0.02099998388439417,0.4490000307559967,1,0.4700000146403909
3214,0.02099998388439417,0.4490000307559967,2,0.4700000146403909
3224,0.017999985255301,0.4410000294446945,4,0.4590000146999955
3231,0.013999991118907928,0.4310000240802765,3,0.4450000151991844
3237,0.015166661391655603,0.42783335347970325,6,0.44300001487135887
3239,0.01483332614103953,0.42883335550626117,6,0.4436666816473007
3242,0.01600000262260437,0.42500001192092896,1,0.4410000145435333
3246,0.015583328902721405,0.4267500191926956,6,0.442333348095417
3249,0.016374997794628143,0.4246250167489052,4,0.4410000145435333
3256,0.015249993652105331,0.42775002121925354,4,0.44300001487135887
3259,0.01633333166440328,0.42466668287913006,3,0.4410000145435333
3266,0.01999998837709427,0.4205000251531601,4,0.44050001353025436
3268,0.018999993801116943,0.4220000207424164,4,0.4410000145435333
3270,0.01600000262260437,0.42500001192092896,3,0.4410000145435333
3274,0.01933332284291585,0.4210000236829122,3,0.440333346525828
3282,0.026333316539724667,0.42200003067652386,3,0.4483333472162485
3286,0.029249986866489053,0.4347500279545784,2,0.46400001482106745
3288,0.03349999198690057,0.4415000230073929,1,0.47500001499429345
3289,0.035249990643933415,0.447750024497509,4,0.4830000151414424
3290,0.027187485888134688,0.43556252866983414,8,0.4627500145579688
3293,0.03116665470103423,0.44216669350862503,6,0.4733333482096593
3299,0.04074999038130045,0.4557500258088112,2,0.49650001619011164
3302,0.03939998988062143,0.45790002644062044,5,0.4973000163212419
3306,0.045071417199713845,0.4407143124512264,7,0.48578572965094025
3307,0.05869999649003148,0.41110001802444457,5,0.46980001451447606
3341,0.02099998388439417,0.4490000307559967,1,0.4700000146403909
3342,0.02099998388439417,0.4490000307559967,1,0.4700000146403909
3360,-0.06700000446289778,0.5540000200271606,1,0.48700001556426287
3362,0.007500000298023224,0.5035000145435333,2,0.5110000148415565
3365,-0.030583343119360507,0.5123333583275477,6,0.48175001520818717
3366,-0.0318749935249798,0.5022500082850456,4,0.4703750147600658
3367,-0.027411767630837858,0.49102942908511443,17,0.4636176614542766
3368,-0.029250008839881048,0.5062500238418579,4,0.47700001500197686
3369,-0.029500003904104233,0.4905000180006027,2,0.4610000140964985
3370,-0.029500003904104233,0.4905000180006027,1,0.4610000140964985
3376,-0.028000014019198716,0.5070000290870667,2,0.47900001506786793
3378,-0.028000014019198716,0.5070000290870667,1,0.47900001506786793
3379,-0.025999993085861206,0.46700000762939453,3,0.4410000145435333
3380,-0.02725001476937905,0.5092500299215317,2,0.4820000151521526
3384,-0.026999998837709427,0.4690000116825104,1,0.44200001284480095
3385,-0.026999998837709427,0.4690000116825104,1,0.44200001284480095
3387,-0.026999998837709427,0.4690000116825104,1,0.44200001284480095
3388,-0.026999998837709427,0.4690000116825104,1,0.44200001284480095
3391,-0.026499999687075615,0.4620000123977661,3,0.4355000127106905
3393,-0.029750016052275896,0.5022500306367874,2,0.4725000145845115
3395,-0.011090365394949675,0.5225903821811078,2,0.5115000167861581
3397,0.00699998252093792,0.44200003147125244,1,0.44900001399219036
3401,-0.011180740162729741,0.5271807576864953,2,0.5160000175237656
3402,-0.007499998435378075,0.5035000145435333,2,0.49600001610815525
3405,-0.007499998435378075,0.5035000145435333,1,0.49600001610815525
3407,-0.007499998435378075,0.5035000145435333,2,0.49600001610815525
3408,-0.03850001282989979,0.5025000274181366,2,0.4640000145882368
3410,-0.007499998435378075,0.5035000145435333,1,0.49600001610815525
3411,-0.007499998435378075,0.5035000145435333,2,0.49600001610815525
3415,-0.03100001811981201,0.4790000319480896,1,0.4480000138282776
3417,-0.03100001811981201,0.4790000319480896,1,0.4480000138282776
3420,-0.028750008903443813,0.47050002217292786,2,0.44175001326948404
3421,-0.028750008903443813,0.47050002217292786,2,0.44175001326948404
3427,-0.004645817336044272,0.4712916860977809,12,0.46664586876173664
3433,-0.0354999965056777,0.5360000133514404,2,0.5005000168457627
3434,-0.011249759294558292,0.4750000238418579,3,0.4637502645472996
3435,-0.03500001132488251,0.4520000219345093,1,0.41700001060962677
3436,-0.03550001233816147,0.4645000249147415,2,0.42900001257658005
3437,-0.03500001132488251,0.4520000219345093,1,0.41700001060962677
3438,-0.03500001132488251,0.4520000219345093,2,0.41700001060962677
3440,-0.03500001132488251,0.4520000219345093,2,0.41700001060962677
3441,-0.03500001132488251,0.4520000219345093,2,0.41700001060962677
3442,0.007500000298023224,0.5035000145435333,1,0.5110000148415565
3444,-0.03500001132488251,0.4520000219345093,2,0.41700001060962677
3445,-0.03500001132488251,0.4520000219345093,2,0.41700001060962677
